PTT,argos_date,dive_num,depth,obs_temp,doppio_temp
161291,2018-06-12 04:00:00,129,"2,7,10,11,12,14,15,17,23,35","18.79,18.639,18.12,17.412,16.005,12.305,11.417,10.454,9.416,9.35","20.046,20.055,18.318,17.891,17.627,16.875,16.685,16.379,15.447,nan"
161291,2018-06-12 20:00:00,128,"2,6,8,10,11,13,14,15,21,30","18.81,18.623,18.296,16.426,14.331,10.993,10.114,9.712,9.46,9.525","20.186,19.942,19.776,19.153,17.841,16.082,15.442,15.243,12.947,nan"
161291,2018-06-13 04:00:00,127,"2,6,9,10,11,12,14,16,21,32","18.02,17.85,16.948,16.114,14.208,12.914,11.212,10.31,9.604,9.51","20.026,20.001,19.171,18.148,17.513,17.043,16.455,16.264,14.742,nan"
161291,2018-06-13 08:00:00,126,"2,8,10,11,12,13,14,17,20,33","18.37,18.157,15.659,13.984,11.973,10.963,10.44,9.926,9.643,9.51","19.976,19.903,19.093,18.686,18.191,17.261,16.988,16.675,16.147,nan"
161291,2018-06-13 20:00:00,125,"2,3,6,8,9,10,12,13,16,26","18.34,17.833,17.024,16.078,15.433,14.186,12.802,11.391,10.007,9.74","20.595,20.428,19.647,18.509,17.883,16.191,14.251,14.101,14.23,12.253"
161291,2018-06-14 12:00:00,124,"2,3","18.39,18.4","18.999,18.982"
161291,2018-06-15 20:00:00,123,"2,4,6,7,10,12,13,15,18,37","19.36,18.7,17.098,16.732,14.429,12.46,11.099,10.408,9.749,8.89","20.698,20.162,19.219,18.445,16.276,15.244,15.112,15.026,14.923,nan"
161291,2018-06-17 00:00:00,122,"2,4","17.36,17.36","21.694,20.767"
161291,2018-06-17 08:00:00,121,"2,4,8,9,10,11,13,17,29,38","19.78,19.212,17.223,14.902,13.919,13.138,12.854,9.325,8.07,7.94","22.017,21.844,20.781,20.781,20.473,20.198,19.957,19.47,15.524,13.669"
161291,2018-06-17 16:00:00,120,"2,8,9,12,13,14,17,24,31,43","19.81,17.863,16.754,12.352,11.102,11.102,9.674,8.565,8.01,8.01","22.208,19.402,18.801,17.493,17.249,17.101,16.991,15.702,13.565,nan"
161291,2018-06-18 12:00:00,89,"2,3,5,10,12,16,18,21,29,38","20.11,19.188,18.184,17.309,16.492,12.093,10.996,9.992,8.755,8.44","22.761,22.647,21.591,19.405,18.939,18.121,17.588,16.335,12.818,nan"
161291,2018-06-19 04:00:00,117,"2,5,8,9,12,13,16,20,26,34","20.65,18.808,17.641,17.012,14.278,14.049,12.07,10.285,9.21,9.21","22.923,21.056,18.378,17.79,16.512,16.251,15.108,13.523,10.432,10.615"
