,dive_num,PTT,argos_date,lat_argos,lon_argos,gps_date,lat_gps,lon_gps,depth,obs_temp,doppio_temp
0,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,2,17.08,17.335
1,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,5,16.53,16.925
2,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,6,15.98,16.204
3,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,7,10.505999999999998,15.62
4,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,8,8.411,14.96
5,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,9,8.35,14.96
6,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,16,8.35,12.047
7,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,18,8.411,11.962
8,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,26,8.411,11.874
9,1,161291,2018-05-25 20:00:00,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961,28,8.551,11.868
10,2,161291,2018-09-03 08:00:00,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953,2,23.65,26.378
11,2,161291,2018-09-03 08:00:00,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953,3,23.621,26.359
12,2,161291,2018-09-03 08:00:00,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953,4,23.531,26.234
13,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,2,23.58,26.329
14,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,8,22.799,23.973
15,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,11,19.543,20.164
16,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,13,16.042,17.814
17,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,14,15.017000000000001,16.733
18,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,15,12.331,15.759
19,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,19,8.943999999999999,13.406
20,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,21,8.113999999999999,12.978
21,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,27,7.414,12.62
22,3,161291,2018-09-03 12:00:00,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939,40,7.3,11.965
23,4,161291,2018-09-04 04:00:00,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125,2,23.73,26.587
24,4,161291,2018-09-04 04:00:00,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125,3,23.616999999999997,26.573
25,4,161291,2018-09-04 04:00:00,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125,4,23.497,26.469
26,4,161291,2018-09-04 04:00:00,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125,5,23.46,26.172
27,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,2,23.59,26.362
28,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,9,22.783,23.524
29,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,11,20.48,21.023
30,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,15,13.755999999999998,16.509
31,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,16,11.251,15.69
32,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,17,10.865,15.014
33,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,18,9.537,14.483
34,5,161291,2018-09-04 12:00:00,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648,20,8.545,13.801
