,date,lat,lon,depth,doppio_temp,obs_temp
0,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,2,17.334945821710406,17.08
1,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,5,16.924692713451922,16.53
2,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,6,16.20411456328402,15.98
3,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,7,15.620009201046573,10.505999999999998
4,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,8,14.959923590218764,8.411
5,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,9,14.959923590218764,8.35
6,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,16,12.047452488853638,8.35
7,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,18,11.96211226832012,8.411
8,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,26,11.873579460692179,8.411
9,2018-05-25 20:00:00,37.53715133666991,-74.7628402709961,28,11.867809083313904,8.551
10,2018-05-26 04:00:00,37.533149719238295,-74.6886978149414,2,18.122995320589396,17.36
11,2018-05-26 04:00:00,37.533149719238295,-74.6886978149414,3,18.112314034156192,17.348
12,2018-05-26 04:00:00,37.533149719238295,-74.6886978149414,4,18.112314034156192,16.715999999999998
13,2018-05-26 04:00:00,37.533149719238295,-74.6886978149414,5,17.93731495772566,15.91
14,2018-05-26 04:00:00,37.533149719238295,-74.6886978149414,6,17.191757054407095,15.91
15,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,2,18.027665899162248,16.82
16,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,3,18.02338043549388,16.778
17,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,4,18.02338043549388,16.656
18,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,5,17.968127932848027,16.41
19,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,6,17.682057712640724,16.230999999999998
20,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,7,17.000858758871598,15.661
21,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,8,17.000858758871598,14.74
22,2018-05-26 08:00:00,37.51897811889649,-74.6784286499023,9,15.999627572236966,14.74
23,2018-05-26 12:00:00,37.48308944702149,-74.6620864868164,2,18.190308674414485,16.81
24,2018-05-26 12:00:00,37.48308944702149,-74.6620864868164,3,18.179159954052334,16.807000000000002
25,2018-05-26 12:00:00,37.48308944702149,-74.6620864868164,4,18.179159954052334,16.706
26,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,2,18.137871026480997,17.28
27,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,3,18.074564652831654,17.104
28,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,5,17.712922874624216,15.979000000000001
29,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,6,16.914332533462723,15.288
30,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,8,16.132150102868856,13.385
31,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,9,15.396397545317967,12.782
32,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,10,15.396397545317967,12.003
33,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,13,14.714808023924954,10.562000000000001
34,2018-05-26 16:00:00,37.466609954834,-74.65802001953129,15,14.195937303934969,10.011000000000001
35,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,2,18.977894450830593,17.48
36,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,4,18.9479159563807,17.362000000000002
37,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,6,17.94885184624596,14.532
38,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,8,16.85332509544351,13.565999999999999
39,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,10,14.979677501164332,12.994000000000002
40,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,11,14.513324102025107,12.136
41,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,16,13.954827090403132,9.977
42,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,18,13.91049977692491,8.271
43,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,19,13.895761722841891,7.926
44,2018-05-26 20:00:00,37.48588943481449,-74.6623916625977,54,9.137510815449957,7.62
45,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,2,18.752807376660257,17.48
46,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,4,18.6673934394883,17.414
47,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,5,18.111075913353854,17.077
48,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,6,18.111075913353854,16.444000000000003
49,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,7,16.83687090370877,15.487
50,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,8,16.83687090370877,15.097000000000001
51,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,9,15.479470092750658,14.929
52,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,11,14.164002801496196,14.902999999999999
53,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,14,13.016480956979112,14.255999999999998
54,2018-05-27 12:00:00,37.4749794006348,-74.56360626220702,15,12.722006869294756,14.18
55,2018-05-27 16:00:00,37.483959197998,-74.58930969238278,2,18.929829302146867,17.97
56,2018-05-27 16:00:00,37.483959197998,-74.58930969238278,3,18.929829302146867,16.118
57,2018-05-27 16:00:00,37.483959197998,-74.58930969238278,6,18.73557839434882,13.765999999999998
58,2018-05-27 16:00:00,37.483959197998,-74.58930969238278,13,14.288519416047407,10.743
