,PTT,dive_num,argos_date,lat_argos,lon_argos,gps_date,lat_gps,lon_gps,depth,obs_temp,FVCOM_temp,doppio_temp,espresso_temp
0,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,2,12.2,,,13.226700782775879
1,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,6,11.749,,,13.20543098449707
2,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,10,11.607999999999999,,,12.74783992767334
3,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,12,10.985,,,12.597383499145508
4,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,18,10.962,,,12.239238739013672
5,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,20,10.454,,,11.901934623718262
6,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,23,10.29,,,10.724688529968262
7,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,27,10.447000000000001,,,9.286051750183105
8,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,30,11.277000000000001,,,8.953259468078613
9,118905,1,2016-05-17 20:00:00,,,2016-05-17 19:49:47,37.891120910644496,-74.62743377685548,37,11.51,,,8.865825653076172
10,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,2,11.84,,,13.163261413574219
11,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,5,11.555,,,13.146063804626465
12,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,8,11.402999999999999,,,13.10315227508545
13,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,9,11.235999999999999,,,13.032258987426758
14,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,10,10.974,,,12.878615379333496
15,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,12,10.654000000000002,,,12.648652076721191
16,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,17,10.508,,,12.283780097961426
17,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,18,10.424000000000001,,,12.197331428527832
18,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,20,10.058,,,11.701618194580078
19,118905,2,2016-05-18 00:00:00,37.87072936380922,-74.61519537135123,2016-05-17 23:25:24,37.88911819458009,-74.5851211547852,22,9.89,,,11.086884498596191
20,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,2,11.62,,,12.199691772460938
21,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,3,11.618,,,12.199691772460938
22,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,4,11.617,,,12.19919204711914
23,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,5,11.613,,,12.198288917541504
24,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,6,11.597000000000001,,,12.198288917541504
25,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,7,11.597000000000001,,,12.196893692016602
26,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,8,11.588,,,12.19477653503418
27,118905,3,2016-05-18 12:00:00,37.77403883060627,-74.5992639172284,2016-05-18 09:51:48,37.7836303710938,-74.58556365966798,9,11.57,,,12.19477653503418
28,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,2,11.57,,,12.180030822753906
29,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,3,11.562000000000001,,,12.178970336914062
30,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,4,11.561,,,12.177765846252441
31,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,5,11.552,,,12.177765846252441
32,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,6,11.550999999999998,,,12.176356315612793
33,118905,4,2016-05-18 20:00:00,37.768101531137695,-74.65350184836886,2016-05-18 19:24:00,37.7694206237793,-74.6578826904297,7,11.546,,,12.174659729003906
