PTT,argos_date,lat_argos,lon_argos,gps_date,lat_gps,lon_gps,depth,obs_temp,doppio_temp
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,4,16.421,18.383
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,5,15.901,18.383
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,8,13.277,16.64
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,11,10.058,14.645
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,12,9.539,14.225
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,15,8.793,13.965
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,23,8.198,14.084
161295,2018-05-26 12:00:00,37.4118653056,-74.7636535877,2018-05-26 10:14:39,37.4201583862,-74.7554016113,47,8.17,9.216
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,2,25.59,27.309
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,8,25.027,26.568
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,9,22.571,24.766
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,12,20.429,19.997
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,16,15.893,17.795
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,17,15.58,17.641
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,18,13.438,17.538
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,21,12.703,17.323
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,22,11.358,17.245
175932,2019-07-18 04:00:00,37.6752535468,-74.8276052924,2019-07-18 03:42:13,37.6752535468,-74.8276052924,40,9.95,17.427
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,2,24.8,25.229
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,10,24.121,21.614
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,13,20.541,16.277
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,14,18.131,16.277
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,15,17.265,15.156
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,16,15.144,14.31
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,19,11.682,13.313
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,20,10.545,13.052
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,23,9.018,12.807
161291,2018-08-02 12:00:00,37.9084865514,-74.4751083553,2018-08-02 11:53:34,37.9076194763,-74.4741134644,56,7.83,12.221
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,2,26.68,25.286
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,12,26.222,17.946
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,17,19.805,12.198
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,18,19.739,11.584
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,19,17.676,11.172
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,22,15.761,10.754
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,23,13.699,10.66
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,41,10.31,10.431
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,48,10.31,10.267
161296,2018-08-19 12:00:00,38.3448421561,-74.2882090504,2018-08-19 13:21:50,38.3391799927,-74.2829971313,49,11.259,10.248
